time,vehicle_id,cargo_id,imei,lat,lng,speed,heading,accuracy
2026-07-02 20:09:12.585+08,1,SH-HZ-20260629-0291,861234567890123,29.61952,106.50577,0,0,5
2026-07-02 20:09:15.564+08,1,SH-HZ-20260629-0291,861234567890123,29.61952,106.50571,0,0,5
2026-07-02 20:09:18.6+08,1,SH-HZ-20260629-0291,861234567890123,29.61953,106.50568,0,0,5
2026-07-02 20:09:21.59+08,1,SH-HZ-20260629-0291,861234567890123,29.6195,106.50564,0,0,5
2026-07-02 20:09:24.619+08,1,SH-HZ-20260629-0291,861234567890123,29.61953,106.50563,0,0,5
2026-07-02 20:09:27.63+08,1,SH-HZ-20260629-0291,861234567890123,29.61957,106.50561,0,0,5
2026-07-02 20:09:30.573+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.50558,0,0,5
2026-07-02 20:09:33.574+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.5056,0,0,5
2026-07-02 20:09:36.579+08,1,SH-HZ-20260629-0291,861234567890123,29.61964,106.5056,0,0,5
2026-07-02 20:09:39.532+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.50561,0,0,5
2026-07-02 20:09:42.585+08,1,SH-HZ-20260629-0291,861234567890123,29.61964,106.5056,0,0,5
2026-07-02 20:09:45.55+08,1,SH-HZ-20260629-0291,861234567890123,29.61966,106.50557,0,0,5
2026-07-02 20:09:48.552+08,1,SH-HZ-20260629-0291,861234567890123,29.61965,106.50557,0,0,5
2026-07-02 20:09:51.578+08,1,SH-HZ-20260629-0291,861234567890123,29.61964,106.50557,0,0,5
2026-07-02 20:09:54.574+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50555,0,0,5
2026-07-02 20:09:57.577+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50551,0,0,5
2026-07-02 20:10:00.539+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.50548,0,0,5
2026-07-02 20:10:03.535+08,1,SH-HZ-20260629-0291,861234567890123,29.61964,106.50544,0,0,5
2026-07-02 20:10:06.544+08,1,SH-HZ-20260629-0291,861234567890123,29.61965,106.50541,0,0,5
2026-07-02 20:10:09.537+08,1,SH-HZ-20260629-0291,861234567890123,29.61966,106.50537,0,0,5
2026-07-02 20:10:12.597+08,1,SH-HZ-20260629-0291,861234567890123,29.61969,106.50532,0,0,5
2026-07-02 20:10:15.577+08,1,SH-HZ-20260629-0291,861234567890123,29.61969,106.50531,0,0,5
2026-07-02 20:10:18.576+08,1,SH-HZ-20260629-0291,861234567890123,29.6197,106.50528,0,0,5
2026-07-02 20:10:21.604+08,1,SH-HZ-20260629-0291,861234567890123,29.61965,106.50526,0,0,5
